"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.12","2.6","0.9","0","671","9820.6","11678.9","1710039","79163227","52310197248"
"0.49","270.5","578.1","0","895","10040.2","12028","1710039","79163227","52310197248"
"0.86","614.7","1730.1","0","1751","10439.5","13261.3","1710259","79205697","52484154368"
"1.21","1474.5","3877.7","0","3509","11318","15416.9","1710260","79205698","52484154368"
"1.59","2687.9","4094.3","0","3579","12542.3","15628.3","1710260","79205698","52484154368"
"1.95","3968.6","4094.5","0","3579","13817.8","15629","1710261","79205699","52484154368"
"2.33","5330.3","4094.7","0","3579","15195","15627.9","1710261","79205699","52484154368"
"2.69","6640.1","4119.3","0","3579","16493.2","15653.4","1710261","79205699","52484154368"
"3.07","7960.2","4119.5","0","3579","17820.8","15657.6","1710261","79205699","52484158464"
"3.42","9309.4","4119.7","0","3579","19196.7","15670.1","1710265","79205724","52484158464"
"3.78","10591.5","4119.8","0","3579","20475.4","15663.9","1710265","79205724","52484158464"
"4.13","11887.3","4120","0","3579","21767.4","15663.1","1710265","79205724","52484158464"
"4.49","13129.5","4026.4","0","3579","23025.8","15563.4","1710265","79205724","52484158464"
"4.86","14401.7","4026.5","0","3579","24288.8","15563.6","1710266","79205725","52484158464"
"5.23","15025.4","1419.3","0","927","24518.2","12948.7","1710301","79205954","52485075968"
"5.61","5227.6","1348.4","0","927","14672.6","12876.4","1710301","79205954","52485075968"
