"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.13","3.4","2.1","0","699","10473","14002.3","1651436","77635511","46054261760"
"0.77","300.9","609.6","0","923","10783.4","14386.5","1651449","77635574","46129300480"
"1.4","1485.1","3882","0","3509","11946.2","17718.5","1652859","77682217","46317737472"
"1.99","2243.8","4094.5","0","3607","12596.2","17882.5","1661180","77777556","46682674176"
"2.6","2886.9","4094.6","0","3607","13237.3","17463.5","1663802","77850481","46980629504"
"3.23","3571.1","4094.7","0","3607","13806.5","16767.5","1667365","77941284","47360414720"
"3.84","4603.6","4094.8","0","3607","14841","16150.4","1669417","78062168","47849337856"
"4.46","5475","4095","0","3615","15702.5","15896.1","1671873","78151775","48259826688"
"5.08","6540","4029.2","0","3615","16756.7","15803.6","1673824","78281320","48808231936"
"5.69","7742.3","4029.4","0","3615","17924.9","15768.6","1675513","78424623","49357431808"
"6.3","9278","4029.6","0","3615","19449.9","15759.3","1676625","78528317","49787094016"
"6.91","10557.4","4029.8","0","3615","20738.8","15719.4","1678088","78634200","50224034816"
"7.52","12103.2","4030.1","0","3615","22110","15716.4","1679092","78713769","50553107456"
"8.12","13165.4","4030.1","0","3615","23110.2","15701.9","1680404","78810169","50927244288"
"8.74","14318.4","4030.2","0","3615","24117.7","15609","1682292","78905411","51318207488"
"9.34","15581.1","4031.3","0","3615","25395.7","15606.9","1698768","79079721","52153148416"
"9.94","5820.8","1350.2","0","963","14882.1","12922.8","1708425","79155205","52278711296"
