"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.13","1.5","0.4","0","805","5848.9","10822.1","1982692","109730791","177505974784"
"0.52","300.8","611.3","0","1030","6115.4","11389.4","1982890","109732076","177508139520"
"0.88","556.5","1731.7","0","1886","6407.4","12700.3","1983344","109826962","178048205312"
"1.23","1234.3","3594.9","0","3602","7068.4","14562","1983939","109966083","178469758976"
"1.58","1589.5","4019.3","0","3644","7434.5","14991.8","1985376","110005539","178690459648"
"1.92","1911.8","4090.3","0","3714","7763.3","15060.6","1986686","110095738","179121301504"
"2.29","2289.1","4090.4","0","3714","8140.2","15062","1988138","110191790","179478329344"
"2.68","2613.5","4090.4","0","3714","8480.4","15074.1","1989886","110282816","179855669248"
"3.07","3100.6","4090.5","0","3714","8964.4","15072.3","1991272","110407564","180351436800"
"3.42","3373.3","4090.5","0","3714","9242.6","15069.3","1992995","110482520","180649949184"
"3.79","3652.5","4090.5","0","3714","9519.1","15070.6","1994727","110557973","181006501888"
"4.13","4148.2","4090.6","0","3714","10022.9","15069.4","1995830","110694467","181570979840"
"4.48","4614.8","4090.6","0","3714","10482.6","15068.9","1996991","110824775","182043789312"
"4.84","4964.8","3999.2","0","3714","10842.6","14979.7","1998424","110921466","182501881856"
"5.19","5487.7","3999.3","0","3714","11370.8","14979.9","1999353","111067043","183110404096"
"5.55","6026.5","4023.8","0","3712","11915.5","15004.3","2000311","111217665","183726704640"
"5.92","6574.6","4023.8","0","3712","12462.4","15003.5","2001300","111367073","184342648832"
"6.27","7131.4","4023.9","0","3712","13015.6","14999.4","2002228","111516057","184932456448"
"6.62","7653.2","4024","0","3712","13539.4","14999.8","2003287","111669804","185573242880"
"6.97","8134.6","4024.2","0","3712","14020.5","15000","2004017","111798873","186087754752"
"7.33","8587.8","4024.2","0","3712","14482.1","14999.9","2004884","111930521","186665065472"
"7.67","9114.1","4024.2","0","3712","15014.3","15009.8","2005764","112072506","187246865408"
"8.03","9609.2","4024.2","0","3712","15514.2","15007.8","2006683","112217294","187816733696"
"8.38","10034.6","4024.3","0","3712","15942.2","15007.3","2007347","112327666","188211760128"
"8.72","10430.3","4024.4","0","3712","16331.7","15005.2","2008164","112444324","188710849536"
"9.08","10813.8","4024.5","0","3712","16720.3","15007","2008831","112553726","189141879808"
"9.44","11250.3","4024.5","0","3712","17157.1","15008.8","2009513","112656146","189544524800"
"9.82","11614.8","4024.5","0","3712","17524.6","15009.1","2010747","112713499","189860581376"
"10.18","12171.6","4024.7","0","3712","18098.8","15008.4","2011112","112760783","189925785600"
"10.55","12873.7","4024.8","0","3712","18796.8","15007.4","2011482","112772047","189959827456"
"10.91","13436.7","4024.8","0","3712","19349.7","15004.9","2012521","112796690","190084706304"
"11.27","14171","4024.8","0","3712","20089","15005.4","2013297","112817117","190157774848"
"11.64","15044.6","4024.9","0","3712","20957","15002.9","2014064","112842626","190379614208"
"11.99","15840.8","4026.1","0","3712","21752.6","15003.3","2037436","113033601","191067140096"
"12.36","9827","1381","0","1060","15378.9","12359.7","2038588","113042545","191067140096"
"12.73","560.2","1158.1","0","805","6390.6","12038.7","2038588","113042545","191067512832"
