"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.11","4","2.3","0","671","9854.6","11681.7","1710304","79205977","52485170176"
"0.47","273.1","581.6","0","895","10062.6","12027.2","1710304","79205977","52485170176"
"0.85","561.6","1730","0","1751","10417.6","13262","1710594","79258164","52698928128"
"1.22","1364.4","3749.8","0","3467","11147.2","15278.9","1710594","79258164","52698928128"
"1.58","1370.4","3759.4","0","3467","11172.9","15289.5","1710594","79258164","52698928128"
"1.93","1377.8","3767","0","3469","11165.1","15296.8","1710594","79258164","52698928128"
"2.28","1405.3","3810","0","3469","11199.9","15340.7","1710594","79258164","52698928128"
"2.65","1494.8","3901.9","0","3469","11281.8","15433.7","1710594","79258164","52698928128"
"2.99","1606.5","4000.7","0","3509","11396.8","15533.7","1710594","79258164","52698928128"
"3.35","1824.9","4095.7","0","3579","11621.3","15627.1","1710594","79258164","52698928128"
"3.71","1824.9","4095.7","0","3579","11633.2","15624.6","1710594","79258164","52698928128"
"4.07","1963.9","4095.7","0","3579","11757.2","15624.8","1710595","79258172","52698928128"
"4.41","1967.3","4095.7","0","3579","11775.7","15622.1","1710595","79258172","52698928128"
"4.75","1971.3","4095.7","0","3579","11764.9","15623.6","1710595","79258172","52698928128"
"5.09","2130.5","4095.9","0","3579","11924","15623","1710595","79258172","52698928128"
"5.42","2134.5","4095.9","0","3579","11942.5","15620.8","1710595","79258172","52698928128"
"5.78","2137.9","4095.9","0","3579","11930.7","15621.2","1710595","79258172","52698928128"
"6.15","2314.1","4095.9","0","3579","12169","15622.6","1710595","79258172","52698928128"
"6.52","2648.6","4067.9","0","3579","12500.4","15593.4","1710595","79258172","52698928128"
"6.87","2798.6","4067.9","0","3579","12590.9","15594.1","1710595","79258172","52698928128"
"7.25","2870.6","4067.9","0","3579","12662.3","15593.6","1710596","79258180","52698928128"
"7.61","2937.6","4067.9","0","3579","12739.1","15593.2","1710596","79258180","52698928128"
"7.96","2941","4067.9","0","3579","12730.1","15595.6","1710596","79258180","52698928128"
"8.31","3077","4067.9","0","3579","12866.7","15595.2","1710596","79258180","52698928128"
"8.66","3108.1","4068","0","3579","12910.1","15595.8","1710596","79258180","52698928128"
"9.03","3111.5","4068","0","3579","12899.4","15594.6","1710596","79258180","52698928128"
"9.38","3115.5","4068","0","3579","12901","15593.9","1710596","79258180","52698928128"
"9.73","3351.9","4068.1","0","3579","13138.3","15593.3","1710596","79258180","52698928128"
"10.08","3633.5","4068.1","0","3579","13468.4","15594.9","1710597","79258188","52698928128"
"10.43","3772.2","4068.2","0","3579","13570.9","15595.2","1710597","79258188","52698928128"
"10.79","3808.3","4068.2","0","3579","13616.5","15595.4","1710597","79258188","52698928128"
"11.14","3911.3","4068.2","0","3579","13697.4","15595.7","1710597","79258188","52698928128"
"11.47","3914.6","4068.2","0","3579","13712.4","15593","1710597","79258188","52698928128"
"11.83","3942.7","4068.3","0","3579","13725.7","15594.8","1710597","79258188","52698928128"
"12.16","4077.7","4068.3","0","3579","13861.8","15594.2","1710597","79258188","52698928128"
"12.53","4081.7","4068.3","0","3579","13878.4","15596.5","1710597","79258188","52698928128"
"12.87","4085.1","4068.3","0","3579","13869.9","15598.6","1710597","79258188","52698928128"
"13.21","4099.1","4068.3","0","3579","13896.3","15596","1710597","79258188","52698928128"
"13.56","4379.5","4068.3","0","3579","14171.5","15592.9","1710597","79258188","52698928128"
