"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.12","1.5","0.4","0","805","4963.3","10702.1","2238622","127787697","251458147328"
"0.48","303","700.3","0","1030","5178.5","11226.5","2238629","127787801","251458302976"
"0.85","305.8","6008.2","0","6154","5250.6","16840.3","2238957","127842107","251836027904"
"1.19","986.6","6008.2","0","6154","5916.5","16834.8","2239631","128013436","252485322752"
"1.54","1513.3","6008.2","0","6154","6448.8","16841.1","2240580","128148656","253061871616"
"1.91","2110.4","6008.2","0","6154","7050.2","16844.5","2241524","128301430","253706905600"
"2.26","2731.7","6008.2","0","6154","7705.3","16842.9","2242378","128447928","254162009088"
"2.61","4088.5","6008.2","0","6154","9069.9","16840.8","2242378","128447928","254187875328"
"2.96","4799.8","6008.2","0","6154","9761.5","16853","2243105","128574250","254807317504"
"3.31","5365.2","6008.2","0","6154","10443.6","17001.9","2244592","128782900","255689735168"
"3.67","5581","7991.5","0","7892","10673.2","18965.2","2247474","128843038","255804666368"
"4.03","5592.3","7991.5","0","7894","10685.9","18960.7","2250018","128863390","255871293440"
"4.38","6024.1","8151.3","0","7904","11163","19136.1","2251336","128956009","256365252096"
"4.73","6570.2","8151.3","0","7904","11704.9","19132.7","2252419","129097387","256942919168"
"5.1","7148.7","8292.5","0","7932","12275.4","19265.6","2253293","129244729","257568181760"
"5.48","7720.5","8292.5","0","7932","12865.3","19273.6","2254484","129392964","258168237568"
"5.83","8285.5","8292.5","0","7932","13434.7","19274.7","2255437","129542968","258782637568"
"6.19","8830.6","8292.5","0","7932","13979.7","19278.2","2256605","129682463","259292465664"
"6.54","9298.6","8292.5","0","7932","14450.6","19287.5","2257858","129807081","259852019712"
"6.87","9659.6","8292.5","0","7932","14823","19286.7","2259076","129905907","260225398784"
"7.23","9958.8","8293","0","7984","15123.7","19289.1","2260009","129982092","260540157440"
"7.58","10306.4","8293","0","7984","15462.6","19291.3","2261407","130071792","260877905408"
"7.94","10615.4","8293","0","7984","15770.2","19289.4","2262789","130156992","261251468800"
"8.31","10969.5","8258.3","0","7984","16127.7","19253.9","2264246","130252964","261627678208"
"8.66","11305.6","8258.3","0","7984","16468.9","19254.4","2265179","130343554","262017186304"
"9.03","11696.4","8258.3","0","7984","16869.2","19249.8","2266190","130448809","262468454912"
"9.38","12108.2","8258.3","0","7984","17276.2","19249.7","2267266","130554705","262882527744"
"9.73","12452.1","8258.3","0","7984","17621","19251.5","2267972","130644076","263259380224"
"10.08","12843.3","8247.7","0","7984","18014","19236.5","2269029","130747814","263683389952"
"10.41","13264.3","8247.7","0","7984","18425.6","19238.6","2270026","130854418","264105425408"
"10.77","13606.6","8247.8","0","7984","18774.8","19237.6","2270700","130944656","264474397184"
"11.13","14027.9","8247.8","0","7984","19196.2","19237.5","2271755","131054168","264948443648"
"11.51","14474.4","8247.8","0","7984","19642.1","19235","2272707","131170390","265413548544"
"11.86","14853.5","8247.8","0","7984","20023.6","19238.7","2273577","131269180","265816119808"
"12.23","15277.1","8247.8","0","7984","20448.1","19240.8","2274595","131379353","266289629696"
"12.59","15718.6","8247.8","0","7984","20894.3","19241.3","2275497","131494171","266715912704"
"12.93","16042.1","8247.8","0","7984","21204.8","19238.8","2276244","131571350","266987440640"
"13.3","16379.2","8247.8","0","7984","21556","19237.3","2277119","131667310","267442469376"
"13.65","16806.7","8247.8","0","7984","21974.2","19228.7","2278076","131777654","267883301376"
"14.01","17206.9","8247.8","0","7984","22375.8","19227.4","2278996","131880409","268279929344"
"14.38","17617","8247.9","0","7984","22791.2","19226.6","2279561","131985584","268780714496"
"14.74","18130.2","8247.9","0","7984","23299.1","19224.6","2280188","132121258","269322689024"
"15.1","18588.9","8247.9","0","7984","23754.5","19223.6","2280767","132242894","269810416128"
"15.46","19090.9","8247.9","0","7984","24264","19221.5","2281465","132375976","270370298368"
"15.82","19587","8247.9","0","7984","24718.7","19225.1","2282097","132506280","270900787712"
"16.2","19989.4","8247.9","0","7984","25126.7","19223.4","2282792","132611544","271336847872"
"16.54","20402.6","8247.9","0","7984","25543.8","19224.7","2283828","132721365","271754148352"
"16.92","20791.3","8247.9","0","7984","25935.4","19234.5","2284824","132817744","272160823808"
"17.28","21154.4","8247.9","0","7984","26303.8","19233.8","2285443","132915467","272582370816"
"17.63","21668.5","8247.9","0","7984","26825.7","19234.1","2286059","133051211","273127630336"
"17.98","22129","8247.9","0","7984","27278.5","19227.6","2286609","133172794","273621878272"
"18.36","22558.8","8247.9","0","7984","27710.6","19228.7","2287219","133284246","274113533440"
"18.73","23098.7","8247.9","0","7984","28256.5","19227.6","2287845","133428351","274691372544"
"19.08","23577.7","8247.9","0","7984","28709.9","19228.6","2288439","133553433","275102615040"
"19.44","23971.8","8247.9","0","7984","29109.8","19230.5","2289030","133659640","275626010112"
"19.78","24425","8247.9","0","7984","29545.7","19213","2289507","133768688","275955300864"
"20.17","24425","8247.9","0","7984","29543.7","19209.6","2289508","133768704","275955366400"
"20.54","24425","8247.9","0","7984","29542.6","19209.1","2289532","133772815","276025600512"
"20.9","24488.8","8247.9","0","7984","29604.4","19206.8","2289610","133785965","276025991168"
"21.26","24488.8","8247.9","0","7984","29605.1","19208.2","2289612","133785981","276026060800"
"21.63","24488.8","8247.9","0","7984","29615.7","19207.2","2289614","133785998","276051345408"
"21.98","24827.9","8247.9","0","7984","29961","19216.1","2290056","133883268","276449882112"
"22.34","25081.1","8248","0","7984","30217.4","19213.6","2290372","133949664","276806180864"
"22.71","25574.6","8248","0","7984","30712.6","19215","2290951","134079679","277349085184"
"23.06","25989.7","8248","0","7984","31105.9","19212.1","2291653","134197352","277824131072"
"23.41","26378.5","8248.2","0","7984","31501.5","19210.7","2292138","134302043","278236426240"
"23.78","26833.5","8248.2","0","7984","31960.6","19212.4","2292659","134420826","278719660032"
"24.12","26812.5","8248.2","0","7984","31950.4","19208.9","2293248","134533223","279193849856"
"24.49","26759","8248.2","0","7984","32053.4","19211.9","2293635","134605182","279467425792"
"24.83","26740","8248.2","0","7984","31980.2","19210.7","2294030","134694755","279827075072"
"25.2","26803.1","8248.2","0","7984","32049.2","19208.7","2294461","134782174","280188739584"
"25.55","26802.9","8248.2","0","7984","32049.7","19208.4","2294849","134864692","280513167360"
"25.91","26802.3","8248.2","0","7984","32049.3","19208.9","2295345","134914640","280684110848"
"26.26","26802.8","8248.3","0","7984","32050","19207.2","2295664","134974901","280957776896"
"26.62","26795.8","8248.3","0","7984","32049.5","19207.9","2296000","135053048","281280733696"
"26.99","26737.7","8248.3","0","7984","32050.1","19276.3","2297086","135128567","281598100992"
"27.36","26779.9","8248.3","0","7984","32050.1","19218.6","2297649","135217432","281956058624"
"27.72","26780.5","8248.3","0","7984","32050.1","19218.5","2297959","135274646","282196805120"
"28.06","26751","8248.3","0","7984","32050.4","19249.2","2298528","135353935","282502488576"
"28.44","26749.7","8248.3","0","7984","32050.4","19250.7","2298906","135438900","282890777088"
"28.82","26759.1","8248.3","0","7984","32050.4","19235.9","2299344","135531179","283248943616"
"29.19","26763.2","8248.3","0","7984","32051.1","19233.1","2299812","135605232","283546456576"
"29.55","26759","8248.3","0","7984","32049.7","19236.1","2300165","135686379","283868373504"
"29.91","26757.3","8248.3","0","7984","32050.4","19236.2","2300520","135760083","284170240512"
"30.25","26756.2","8248.3","0","7984","32050.4","19237.1","2300913","135835317","284476367360"
"30.62","26755.6","8248.3","0","7984","32050.2","19236","2301336","135904298","284720403968"
"30.97","26757","8248.3","0","7984","32052.5","19227.6","2301752","135944727","284939142656"
"31.32","26946.9","8248.3","0","7984","32258.2","19226.1","2302232","136049437","285371192832"
"31.67","26994.3","8248.3","0","7984","32294.7","19225.9","2302672","136130069","285683627520"
"32.03","26997.8","8248.3","0","7984","32293.7","19229","2302980","136203553","286001591808"
"32.37","26998.7","8248.3","0","8010","32163.1","19126.7","2303774","136293819","286374167552"
"32.75","27226.4","8248.3","0","8010","32385.9","19122.8","2304207","136387212","286742942720"
"33.14","27198.9","8248.3","0","8010","32385.7","19136.8","2304676","136461297","287091373568"
"33.48","27203.5","8248.3","0","8010","32386","19131","2305056","136546871","287390508544"
"33.83","27206.9","8248.3","0","8010","32385.9","19123.2","2305398","136625458","287717643776"
"34.19","27196.3","8248.3","0","8010","32385.3","19121.9","2306273","136675168","287920196096"
"34.53","27215.3","8248.3","0","8010","32384.9","19113","2306591","136746074","288211675648"
"34.91","27215.8","8248.3","0","8010","32386","19112","2306920","136817232","288517814784"
"35.27","27230.3","8248.3","0","8010","32386","19112.5","2307286","136895357","288828434944"
"35.64","27225.9","8248.3","0","8010","32386","19126.6","2307695","136963389","289111209472"
"36","27225.4","8248.3","0","8010","32385","19127","2308108","137017230","289310882304"
"36.36","27227.1","8248.3","0","8010","32386","19127.6","2308477","137075076","289552935424"
"36.69","27222.5","8248.3","0","8010","32386","19128.9","2308866","137142385","289824430592"
"37.06","27223.6","8248.3","0","8010","32386","19126.8","2309219","137216087","290134702592"
"37.41","27212.4","8248.3","0","8010","32386","19135","2309570","137291586","290454432256"
"37.74","27214.5","8248.3","0","8010","32388.2","19133.2","2309964","137352324","290663448064"
"38.09","27213.1","8248.3","0","8010","32386","19132.1","2310319","137428608","291014622720"
"38.45","27209.8","8248.3","0","8010","32386","19125.3","2310751","137513525","291369894912"
"38.8","27209.3","8248.3","0","8010","32388.4","19127.4","2311147","137598281","291711822336"
"39.16","27203.2","8248.3","0","8010","32389.1","19143.5","2311589","137670204","291996883456"
"39.5","27197.2","8248.3","0","8010","32386","19142.5","2312045","137754456","292344015360"
"39.85","27196.7","8248.3","0","8010","32385","19142.2","2312444","137836088","292677478912"
"40.2","27199.8","8248.3","0","8010","32385.6","19137.5","2312796","137911618","292995172864"
