"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.11","1.5","0.4","0","648","7213.4","10584.5","1863001","94184324","113844877824"
"0.46","302.6","699","0","873","7433.3","11122.3","1863252","94187479","113844926976"
"0.85","323.6","6006.9","0","5997","7508.2","16731.7","1863508","94228147","114224355840"
"1.2","1070","6006.9","0","5997","8237.3","16726.7","1864330","94413715","114890366464"
"1.53","1585.6","6006.9","0","5997","8770.3","16727.1","1865276","94550124","115439954944"
"1.9","2181.9","6006.9","0","5997","9326.7","16682.2","1866152","94704633","116109884416"
"2.25","2798","6006.9","0","5997","9945.5","16682.7","1867047","94863385","116732661760"
"2.61","3957.1","6006.9","0","5997","11154.2","16683.9","1867220","94892505","116738424832"
"2.97","4787.8","6006.9","0","5997","11946.4","16690.2","1868014","95015494","117365432320"
"3.33","5389.1","6006.9","0","6063","12534.3","16690.8","1868906","95161058","117865267200"
"3.68","5584.2","7995.4","0","7735","12740.7","18690.2","1870505","95178238","117913736192"
"4.03","5592.4","7995.5","0","7735","12766.3","18689.9","1872196","95191759","117969912832"
"4.4","5601.6","8003.4","0","7735","12778.1","18693.2","1873598","95202889","118003991552"
"4.75","5628.1","8042.7","0","7737","12791.9","18710.1","1873621","95203005","118004503552"
"5.1","5718.6","8135.9","0","7737","12874.3","18803.9","1873850","95203971","118008476672"
"5.47","5823.9","8187.4","0","7747","13000.1","18855.8","1874183","95232280","118265295872"
"5.84","6389.9","8187.4","0","7747","13550.7","18850.3","1875200","95376388","119110897664"
"6.2","6723.3","8187.4","0","7747","13991.6","18947.8","1878224","95574829","119638589952"
"6.54","7129.4","8328.6","0","7775","14429.5","19118.5","1879478","95677275","120033535488"
"6.9","7564.1","8328.6","0","7775","14880","19130.5","1880399","95798789","120566605824"
"7.27","8054.2","8328.6","0","7775","15371.3","19126.9","1881248","95927154","121093232640"
"7.62","8497.5","8328.6","0","7775","15815.8","19140","1882052","96033516","121405600256"
"7.99","8766.6","8328.6","0","7775","16103.9","19140.2","1882599","96111786","121845662208"
"8.38","9220.4","8328.6","0","7775","16565.2","19142.5","1883568","96231957","122373208576"
"8.72","9739.6","8328.6","0","7775","17096","19154.7","1884444","96366287","122864844288"
"9.07","9893.4","8347","0","7827","17235.2","19165.2","1884607","96390064","122865765888"
"9.44","9946.6","8347","0","7827","17300.8","19169","1884719","96408513","122979066880"
"9.78","10001.4","8311.1","0","7827","17342.7","19131.6","1884792","96417736","122979066880"
"10.15","10001.4","8311.1","0","7827","17337.9","19127.5","1884792","96417736","122979066880"
"10.5","10001.5","8311.1","0","7827","17352.8","19133.3","1884793","96417738","122979129344"
"10.86","10001.6","8311.3","0","7848","17342.6","19155.5","1884797","96417751","122979129344"
"11.2","10001.7","8311.4","0","7848","17340.2","19154.7","1884797","96417751","122979129344"
"11.55","10106.5","8311.4","0","7848","17451.1","19151.4","1885110","96449883","123196356096"
"11.9","10454.6","8299.5","0","7848","17797.1","19138.7","1886052","96543978","123586295296"
"12.25","10838.5","8299.5","0","7848","18174.5","19129.9","1886967","96643018","123984475648"
"12.61","11186.2","8299.5","0","7848","18504.7","19120.7","1887620","96726966","124245669376"
"12.97","11399.7","8299.5","0","7848","18736.4","19122.6","1888224","96790690","124596311552"
"13.34","11750.3","8299.5","0","7848","19080.6","19119.9","1889064","96880652","124977509888"
"13.72","12141.7","8299.5","0","7848","19472.5","19120.2","1889981","96982252","125413987840"
"14.07","12368.4","8299.5","0","7848","19696","19118","1890351","97035236","125562848768"
