"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.1","1.5","0.4","0","803","5889.4","11148.6","2038624","113042740","191067932672"
"0.45","292.6","601","0","1028","6128.2","11479.5","2038625","113042741","191067932672"
"0.8","387.8","1730","0","1884","6310.6","12716.2","2038832","113082135","191229290496"
"1.14","1367.2","3753.2","0","3600","7222.2","14728.2","2039252","113085495","191263172608"
"1.49","1377.4","3753.2","0","3600","7247.3","14729.2","2041579","113104099","191340324864"
"1.84","1783","3904.7","0","3612","7684.6","14881.1","2043050","113182815","191744940032"
"2.19","2261.3","3904.7","0","3612","8162.6","14878.3","2044190","113304645","192243173376"
"2.54","2835.3","3904.7","0","3640","8728.6","14877.2","2045205","113441072","192785553408"
"2.91","3324.8","4046.1","0","3640","9223.5","15017.8","2046326","113556633","193315977216"
"3.26","3849.3","4046.1","0","3640","9751.6","15019.4","2047438","113680823","193838602240"
"3.65","4461.6","4046.1","0","3640","10366.6","15019.7","2048507","113826106","194406574080"
"4","4970.8","4046.1","0","3640","10886.4","15022.7","2049729","113956820","194919766016"
"4.38","5527.8","4046.1","0","3692","11446.7","15019.9","2050810","114090129","195408922624"
"4.72","6236.2","4046.4","0","3692","12156.1","15018.4","2051823","114168834","195744712704"
"5.08","6655.4","4046.4","0","3692","12576.6","15019.1","2053198","114263132","196172879872"
"5.44","7125.4","4046.4","0","3692","13041.8","15016.7","2054518","114365626","196569925632"
"5.79","7532.7","4011","0","3692","13447.5","14981.3","2055917","114455245","196942432256"
"6.14","7971.1","4011","0","3692","13875.8","14978.4","2057255","114554868","197360658432"
"6.49","8444.2","4011","0","3692","14348.3","14978.9","2058463","114651734","197742880768"
"6.84","8814.2","4011","0","3692","14722.3","14976","2059883","114736632","198101842432"
"7.2","9187.7","4011","0","3692","15107.5","14974.4","2060983","114827951","198441736704"
"7.56","9648.4","3999.8","0","3692","15587.1","14995.8","2061824","114886192","198618635264"
"7.91","10122","3999.9","0","3692","16060.3","14988.1","2062706","114944778","198948772864"
"8.27","10535","3999.9","0","3692","16478.1","14987.5","2063768","115035887","199297297408"
"8.63","10923.1","3999.9","0","3692","16864.9","14989.4","2064969","115130184","199696116736"
"9","11286.1","3999.9","0","3692","17226.8","14987.8","2065988","115201820","200006847488"
"9.36","11713.7","3999.9","0","3692","17645.5","14986.5","2067158","115297146","200382618624"
"9.71","12070.4","3999.9","0","3692","18009","14988.6","2068351","115379789","200763603968"
"10.06","12442.9","3999.9","0","3692","18371.4","14982.2","2069280","115457913","201048116224"
"10.42","12881","3999.9","0","3692","18807.5","14981.4","2070337","115559299","201448500224"
"10.77","13254.9","3999.9","0","3692","19195.6","14978.7","2071566","115643611","201819044864"
"11.15","13767.2","4000","0","3692","19715.9","14973.4","2072138","115700296","201987791872"
"11.5","14153.5","4000.1","0","3692","20088.1","14974.4","2073339","115771700","202313792512"
"11.86","14517.4","4000.1","0","3692","20458.4","14974.9","2074725","115849497","202637700096"
"12.22","14868","4000.2","0","3692","20806.4","14976.3","2076056","115928101","202955283456"
"12.58","15162.1","4000.2","0","3692","21098.8","14981.9","2077171","115989783","203240619008"
"12.93","15574.8","4000.2","0","3692","21516.7","14980.6","2078470","116080118","203554290688"
"13.28","15900.5","4000.2","0","3692","21847.8","14974.8","2079629","116158868","203910372352"
"13.63","16272.7","4000.2","0","3692","22216.9","14973.8","2080646","116253657","204219735040"
"13.99","16562.2","4000.2","0","3692","22503.5","14976.4","2081525","116329069","204605590528"
"14.35","16915.8","4000.2","0","3692","22866.7","14976.6","2082654","116423438","205021012480"
"14.71","17308.5","4000.2","0","3692","23316.8","15044.9","2084579","116531097","205451184640"
"15.06","17678.1","4000.4","0","3694","23627.1","14979.6","2085403","116627166","205837161984"
"15.42","18039.2","4000.4","0","3694","23988.4","14974.7","2086351","116720496","206214006272"
"15.77","18452.8","4000.4","0","3694","24393.6","14971.9","2087278","116828380","206667982336"
"16.13","18793.8","4000.4","0","3694","24740.7","14974.1","2088264","116919382","207022294528"
"16.5","19098.3","4000.4","0","3694","25035.5","14969.2","2088923","116993456","207329738752"
"16.84","19444.3","4000.4","0","3694","25395","14973.3","2090035","117090764","207744180224"
"17.19","19852","4000.4","0","3694","25786","14973.3","2090802","117197606","208184508416"
"17.56","20254.4","4000.4","0","3694","26195.9","14975.3","2091953","117306220","208596492288"
"17.91","20557.8","4000.4","0","3694","26496.7","14975.7","2092936","117386482","208946610176"
"18.27","20966.5","4000.4","0","3694","26909.7","14976.9","2093818","117494499","209407938560"
"18.62","21356.5","4000.4","0","3694","27302","14974.6","2094982","117594823","209817817088"
"18.98","21737","4000.4","0","3694","27676.4","14975.3","2095677","117693644","210229616640"
"19.34","22117.7","4000.4","0","3694","28055.8","14975","2096629","117791807","210600812544"
"19.71","22487.7","4000.4","0","3694","28422.5","14974.3","2097520","117887337","211024420864"
"20.08","22863.7","4000.4","0","3694","28810.4","14972.4","2098534","117989471","211408273408"
"20.43","23167.8","4000.4","0","3694","29095.3","14970.7","2099491","118064602","211671773184"
"20.78","23492.9","4000.4","0","3694","29432.3","14967.2","2100363","118157244","212096311296"
"21.16","23900.8","4000.4","0","3694","29836.3","14965.4","2101385","118262419","212551245824"
"21.51","24236","4000.4","0","3694","30166.9","14965.9","2102494","118350441","212892897280"
"21.88","24431.8","4000.4","0","3694","29783.7","14966.9","2102943","118398298","213004001280"
"22.27","24495.4","4000.4","0","3694","29708.6","14967.5","2103172","118415510","213074501632"
"22.64","24495.4","4000.4","0","3694","29720.6","14967.6","2103172","118415510","213074567168"
"22.99","24559.3","4000.4","0","3694","29775.9","14965","2103292","118432163","213142712320"
"23.38","24816.7","4000.4","0","3694","30038","14965.8","2103933","118504846","213553643520"
"23.71","25172.5","4000.4","0","3694","30398.8","14964.4","2104864","118599533","213901635584"
"24.06","25478.5","4000.4","0","3694","30707.4","14964.9","2105908","118680099","214241251328"
"24.4","25704.2","4000.4","0","3694","30965","14965","2106499","118747923","214479056896"
"24.75","25972.4","4000.4","0","3694","31239.9","14965","2107082","118817153","214803214336"
"25.09","26333.4","4000.4","0","3694","31617.4","14973.3","2107932","118915110","215217315840"
"25.43","26666.5","4000.4","0","3694","31975.7","14973.5","2108873","119008214","215579979776"
"25.78","26986.2","4000.4","0","3694","32287.8","14973.3","2109952","119091945","215915429888"
"26.13","26820.9","4000.4","0","3694","32313.7","14969.7","2110392","119141914","216107930112"
"26.5","26648.8","4000.4","0","3694","31904","14834.2","2111282","119246209","216559702528"
"26.85","26806.1","4000.4","0","3694","32050.2","14835.9","2112066","119315843","216821903872"
"27.22","26805.6","4000.4","0","3694","32050.2","14836.8","2112798","119382386","217101664768"
"27.55","26805.1","4000.4","0","3694","32050.2","14837.9","2113509","119446374","217325479424"
"27.92","26804.4","4000.4","0","3694","32050.2","14835.8","2114093","119487015","217519474176"
"28.26","26807.1","4000.4","0","3694","32049.2","14833.3","2114670","119551653","217789052416"
"28.6","26808.7","4000.4","0","3694","32050.2","14830","2115290","119618000","218051229184"
"28.96","26809","4000.4","0","3694","32050.2","14830.2","2115901","119683003","218322724352"
"29.31","26788.3","4000.4","0","3694","32049.3","14832.1","2116765","119747479","218591024640"
"29.66","26808.7","4000.4","0","3694","32050.2","14828","2117300","119793823","218766976512"
"30.01","26811.3","4000.4","0","3694","32050.2","14827.2","2117753","119844938","218976107008"
"30.38","26808.6","4000.4","0","3694","32049.2","14825.2","2118325","119903665","219233901056"
"30.72","26801.4","4000.4","0","3694","32050.2","14827.5","2118867","119966124","219476097536"
"31.08","26805.4","4000.4","0","3694","32050.2","14822.9","2119481","120027517","219729988096"
"31.44","26806.2","4000.4","0","3694","32050.2","14823.8","2120136","120094621","220017109504"
"31.81","26802.9","4000.4","0","3694","32050.2","14823.6","2120669","120163345","220299778560"
"32.18","26807.9","4000.4","0","3694","32050.1","14818.8","2121105","120222226","220567120896"
"32.54","26832","4000.4","0","3694","32203","14931.5","2122387","120302241","220853720576"
"32.88","26835.5","4000.4","0","3694","32203.2","14929.6","2122928","120359870","221078156800"
"33.24","26833","4000.4","0","3694","32203.2","14930","2123539","120417778","221318578688"
"33.61","26936.3","4000.4","0","3694","32340.2","14940.4","2124477","120504977","221716467200"
"33.99","27007","4000.4","0","3694","32385.7","14941.4","2125009","120580973","222011006464"
"34.35","27004","4000.4","0","3694","32385.3","14944.2","2126051","120620868","222189203456"
"34.71","26981.7","4000.4","0","3694","32384.6","14956.1","2127061","120700977","222484614144"
"35.07","26974.7","4000.4","0","3694","32385.7","14964.9","2127712","120762668","222742543360"
"35.43","26954.4","4000.4","0","3694","32385.4","14982.8","2128606","120828936","223016358912"
"35.8","26956.7","4000.4","0","3694","32385.7","14978.5","2129103","120891808","223280630272"
"36.16","26959.7","4000.4","0","3694","32385.7","14971.7","2129544","120959084","223501565440"
"36.52","27083.6","4000.4","0","3694","32358.8","14818.9","2130229","121011398","223770665472"
"36.88","27124.3","4000.4","0","3694","32384.7","14820.8","2130668","121066786","223977648640"
"37.24","27123.3","4000.4","0","3694","32385.6","14819.9","2131349","121122595","224216670720"
"37.61","27120","4000.4","0","3694","32385.6","14819.2","2132188","121189613","224507735040"
"38","27075.3","4000.4","0","3694","32386.5","14853.3","2134305","121257819","224769042944"
"38.39","27070.2","4000.4","0","3694","32386.5","14862.9","2135145","121318893","225032327168"
"38.75","27076.5","4000.4","0","3694","32396.1","14866.9","2136147","121349928","225092675072"
"39.13","27076.5","4000.4","0","3694","32404.3","14867.2","2136149","121349960","225092740608"
"39.5","27076.5","4000.4","0","3694","32401.5","14866","2136166","121350164","225093576192"
"39.86","27076.5","4000.4","0","3694","32403.1","14881.7","2136170","121350228","225093772800"
"40.22","27109.3","4000.4","0","3694","32387.9","14871.1","2136594","121386629","225299495424"
"40.57","27109","4000.4","0","3694","32386.5","14869.8","2137344","121451700","225561819648"
"40.91","27096.8","4000.4","0","3694","32386.5","14881.2","2138138","121510740","225802541568"
"41.25","27096.6","4000.4","0","3694","32385.7","14880.6","2138828","121572098","226050701824"
"41.6","27102.6","4000.4","0","3694","32385.5","14873.6","2139601","121638912","226335922688"
"41.97","27101.2","4000.4","0","3694","32386.4","14871","2140345","121703475","226540633600"
"42.33","27102.9","4000.4","0","3694","32386.5","14869.2","2140894","121751358","226796658176"
"42.69","27100.7","4000.4","0","3694","32386.5","14870.9","2141710","121821858","227089235456"
"43.02","27099.8","4000.4","0","3694","32386.7","14872.5","2142575","121886722","227330609664"
"43.38","27099.9","4000.4","0","3694","32386.7","14872.4","2143366","121950987","227613262336"
"43.72","27095.8","4000.4","0","3694","32386.7","14871.2","2144047","122020139","227849106944"
"44.07","27105.1","4000.4","0","3694","32386.7","14865.3","2144649","122065847","228078073344"
"44.44","27106","4000.4","0","3694","32386.7","14863.7","2145036","122128505","228351817216"
"44.79","27098.3","4000.4","0","3694","32386.5","14862.1","2145399","122205345","228665032704"
"45.17","26983.8","4000.4","0","3694","32386.7","14936.2","2148478","122301214","229055346688"
"45.51","27033","4000.4","0","3694","32385.7","14874.6","2148914","122378335","229374035968"
"45.88","27055.9","4000.4","0","3694","32386.7","14872.7","2149351","122456647","229637920768"
"46.22","27043.4","4000.4","0","3694","32385.7","14884.6","2149705","122514434","229920802816"
"46.58","27044.7","4000.4","0","3694","32386.7","14882.4","2150039","122590922","230256969728"
"46.93","27048.2","4000.4","0","3694","32386.5","14877.8","2150433","122673221","230578096128"
"47.3","27048","4000.4","0","3694","32386.7","14875.7","2150797","122748821","230899693568"
"47.68","27051.4","4000.4","0","3694","32385.2","14870.4","2151305","122808782","231157845504"
"48.03","27066.8","4000.4","0","3694","32386.7","14869.6","2151703","122896536","231488530944"
"48.38","27065.7","4000.4","0","3694","32386.7","14865.6","2152138","122978767","231826205184"
"48.72","27057.9","4000.4","0","3694","32386.7","14867.6","2152523","123059188","232154162176"
"49.06","27065.6","4000.4","0","3694","32385.7","14868.5","2153069","123120736","232397685760"
"49.41","27066","4000.4","0","3694","32386.5","14868","2153565","123185650","232643441664"
"49.76","27087","4000.4","0","3694","32386.6","14866.8","2154237","123250160","232921756672"
"50.14","27076.4","4000.4","0","3694","32386.7","14876","2154864","123317803","233214407680"
"50.48","27075.1","4000.4","0","3694","32386.7","14873.2","2155610","123381587","233457632256"
"50.83","27075.3","4000.4","0","3694","32386.7","14875.3","2156258","123448331","233742902272"
"51.17","27075.4","4000.4","0","3694","32386.7","14870.4","2156866","123512071","233995590656"
"51.53","27078.3","4000.4","0","3694","32385.7","14871.8","2157608","123552202","234182278144"
"51.9","27100.7","4000.4","0","3694","32386.2","14870.5","2158264","123626506","234485292032"
"52.25","27098.1","4000.4","0","3694","32386.7","14873.1","2158976","123696146","234760440832"
"52.62","27098.8","4000.4","0","3694","32385.7","14871.5","2159703","123764745","235051715584"
"52.97","27095.1","4000.4","0","3694","32386.7","14871.4","2160394","123837185","235337878528"
