"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"0.12","2.6","0.9","0","684","9779.3","11695.2","1710690","79259011","52701213696"
"0.49","270.2","578.7","0","909","9988.3","12044.9","1710690","79259011","52701213696"
"0.87","457.2","1730","0","1765","10237.2","13275.9","1710905","79296506","52854793216"
"1.22","1364.2","3748.1","0","3481","11102.1","15304.9","1711232","79299116","52877280256"
"1.56","1377.7","3757.7","0","3481","11108.3","15306.6","1713147","79314416","52939473920"
"1.92","1386.1","3757.8","0","3481","11132.8","15306.5","1714920","79328575","52986147840"
"2.28","1411.9","3791.1","0","3483","11162.8","15341.8","1714920","79328575","52986147840"
"2.64","1416.5","3805.3","0","3483","11173.3","15345.2","1714920","79328575","52986147840"
"3","1591.5","3942","0","3493","11366.7","15483.6","1715103","79347921","53148251136"
"3.35","1944.1","3942","0","3493","11703.8","15481.9","1716668","79435741","53511324672"
"3.69","2365","3942","0","3493","12134.5","15480.9","1717954","79545086","53977760768"
"4.08","2888.3","3942","0","3521","12654.7","15483.8","1719260","79669868","54442550272"
"4.44","3314.2","4083.4","0","3521","13094.8","15626.3","1720418","79773750","54932366336"
"4.8","3765.1","4083.4","0","3521","13533.7","15625.4","1721793","79883295","55352644608"
"5.19","4268.2","4083.4","0","3521","14041.1","15626.8","1722987","80006566","55763887104"
"5.54","4647","4083.4","0","3521","14432.5","15627.9","1724037","80087567","56197092352"
"5.88","5102.5","4083.4","0","3521","14879.4","15625.2","1725398","80201700","56624350208"
"6.24","5579.3","4083.4","0","3521","15369.7","15625.9","1726543","80320145","57085703168"
"6.6","5676.3","4101.8","0","3573","15449","15644.3","1726693","80329443","57085703168"
"6.94","5815.4","4101.8","0","3573","15603.5","15646.6","1726779","80329896","57087522304"
"7.3","5818.7","4067.5","0","3573","15596.8","15613.8","1726781","80329903","57087529984"
"7.67","5954.8","4067.6","0","3573","15734.2","15614.5","1726781","80329903","57087529984"
"8.02","5986","4067.8","0","3573","15779.1","15613.7","1726784","80329908","57087544320"
"8.38","5989.5","4067.8","0","3573","15767","15607.3","1726784","80329908","57087544320"
"8.75","6136","4067.8","0","3573","15915.8","15607.6","1727179","80358270","57277619200"
"9.13","6507.1","4067.8","0","3573","16293.8","15608.5","1728671","80443221","57641835520"
"9.52","6874.6","4057.5","0","3581","16667.7","15609.1","1729663","80533178","58022325248"
"9.89","7201.9","4057.5","0","3581","16980.3","15609.7","1730401","80591911","58207083520"
"10.27","7552.6","4057.5","0","3581","17340.7","15608.6","1731540","80672063","58584685568"
"10.64","7958.9","4057.5","0","3581","17759.1","15605.9","1732739","80767889","58957495296"
"11.02","8384.1","4057.5","0","3581","18125.1","15589.2","1734768","80854041","59237960704"
"11.38","8622.1","4057.5","0","3581","18271.1","15543.1","1738118","80919057","59571776512"
"11.75","8983.7","4057.5","0","3581","18571.4","15493.4","1739386","80998316","59902381056"
"12.1","9339.9","4057.5","0","3581","18920","15490.2","1740486","81078673","60222618624"
"12.44","9566.3","4057.6","0","3581","19136.8","15491.8","1740893","81117703","60314352640"
"12.79","9566.3","4057.6","0","3581","19141","15493.8","1740894","81117711","60314385408"
"13.16","9705.4","4057.7","0","3581","19275","15494.6","1740895","81117719","60314385408"
"13.5","9708.8","4057.7","0","3581","19280.4","15494.5","1740895","81117719","60314385408"
"13.86","9808.8","4057.7","0","3581","19415.2","15495.5","1740897","81117735","60314418176"
"14.24","9875.9","4057.7","0","3581","19446.6","15495.5","1740897","81117735","60314418176"
"14.61","9879.2","4057.7","0","3581","19453.3","15498","1740897","81117735","60314418176"
"14.97","9909.5","4057.7","0","3581","19495.6","15498.3","1740898","81117743","60328311808"
"15.33","10186.6","4057.7","0","3581","19766.3","15500.3","1741735","81178764","60661025792"
"15.7","10587.7","4057.7","0","3581","20179.1","15500.5","1742714","81267296","60999367680"
"16.05","10927.7","4057.7","0","3581","20519.9","15500.4","1743801","81348414","61350841344"
"16.39","11127.7","4057.7","0","3581","20705.4","15500.1","1744271","81396399","61544393728"
"16.76","11508.7","4057.7","0","3581","21099","15501.2","1745350","81497218","61963115520"
